Duration (hh:mm:ss.ms),Trial ID,Song_x,Valence,Arousal,Quadrant Color,Song_y,Tempo (bpm),Tempo Std Dev,Mean BPM,Coefficient of Variation,Rolling Coefficient of Variation,Instantaneous Rate of Tempo Change,Timestamp,Rate_of_Tempo_Change,ABSOLUTE RATE CHANGE,Tempo_Acceleration,Tempo_Change_Percentage,ABSOLUTE CHANGE PERCENTAGE,abs tempo change percentage,Arousal_Change,ABSOLUTE AROUSAL CHANGE,Tempo_Change_Category,Arousal_Response_Category,Normalized_Rate_of_Tempo_Change,Normalized_Tempo_Change_Percentage
000:00:01.983000,4.20.csv,Audio File 4.mp3,-0.218972757,-0.734010351,Red,Audio File 4,147.65625,0.0,0.0,0.0,0.0,0.0,1.983,-30.54956897,30.54956897,,0.0,0,0,0.012742896,0.012742896,Small Change (0-5%),No Change,0.26629134409915634,0.3970588235140216
000:00:02.101000,4.7.csv,Audio File 4.mp3,0.283175471,-0.568010936,Blue,Audio File 4,147.65625,0.0,147.65625,0.0,0.0,0.0,2.101,0.0,0,0,0.0,0,0,0.165999414,0.165999414,Small Change (0-5%),No Change,0.5,0.3970588235140216
000:00:02.135000,4.5.csv,Audio File 4.mp3,-0.016129032,-0.024064516,Red,Audio File 4,147.65625,0.0,147.65625,0.0,0.0,0.0,2.135,0.0,0,0,0.0,0,0,0.54394642,0.54394642,Small Change (0-5%),No Change,0.5,0.3970588235140216
000:00:02.382000,4.6.csv,Audio File 4.mp3,0.268743429,-0.533458751,Blue,Audio File 4,147.65625,0.0,147.65625,0.0,0.0,0.0,2.382,0.0,0,0,0.0,0,0,-0.509394234,0.509394234,Small Change (0-5%),No Change,0.5,0.3970588235140216
000:00:02.530000,4.14.csv,Audio File 4.mp3,-0.05339741,-0.646852413,Red,Audio File 4,126.0480183,12.47551839,140.4535061,-0.146341463,0.029607706,-146.0015656,2.53,-21.60823171,21.60823171,-986.4970648,-14.63414634,14.63414634,14.63414634,-0.113393663,0.113393663,Moderate Change (5-15%),Decrease in Tempo → Decrease in Arousal,0.3346938775372814,0.22689075629372665
000:00:02.681000,4.2.csv,Audio File 4.mp3,-0.004207574,0.213464236,Yellow,Audio File 4,126.0480183,12.47551839,133.2507622,0.0,0.060815829,0.0,2.681,0.0,0,966.8977854,0.0,0,0,0.860316649,0.860316649,Small Change (0-5%),No Change,0.5,0.3970588235140216
000:00:02.817000,4.10.csv,Audio File 4.mp3,0.275974026,-0.831168831,Blue,Audio File 4,126.0480183,0.0,126.0480183,0.0,0.060815829,0.0,2.817,0.0,0,0,0.0,0,0,-1.044633067,1.044633067,Small Change (0-5%),No Change,0.5,0.3970588235140216
000:00:03.016000,4.11.csv,Audio File 4.mp3,0.017754439,-0.596949237,Blue,Audio File 4,126.0480183,0.0,126.0480183,0.0,0.031208123,0.0,3.016,0.0,0,0,0.0,0,0,0.234219594,0.234219594,Small Change (0-5%),No Change,0.5,0.3970588235140216
000:00:03.166000,4.1.csv,Audio File 4.mp3,0.258716701,-0.151808559,Blue,Audio File 4,126.0480183,0.0,126.0480183,0.0,0.0,0.0,3.166,0.0,0,0,0.0,0,0,0.445140679,0.445140679,Small Change (0-5%),No Change,0.5,0.3970588235140216
000:00:03.521000,4.8.csv,Audio File 4.mp3,0.272242839,-0.633932819,Blue,Audio File 4,139.6748311,7.867444032,130.5902892,0.108108108,0.020081748,38.38538814,3.521,13.62681279,13.62681279,108.1278539,10.81081081,10.81081081,10.81081081,-0.482124261,0.482124261,Moderate Change (5-15%),Increase in Tempo → Decrease in Arousal,0.6042471042550793,0.522768566869094
000:00:03.601000,4.2.csv,Audio File 4.mp3,-0.177185601,0.243852267,Yellow,Audio File 4,139.6748311,7.867444032,135.1325602,0.0,0.03948848,0.0,3.601,0.0,0,-479.8173517,0.0,0,0,0.877785087,0.877785087,Small Change (0-5%),No Change,0.5,0.3970588235140216
000:00:03.634000,4.12.csv,Audio File 4.mp3,0.024137153,-0.446266637,Blue,Audio File 4,139.6748311,0.0,139.6748311,0.0,0.03948848,0.0,3.634,0.0,0,0,0.0,0,0,-0.690118904,0.690118904,Small Change (0-5%),No Change,0.5,0.3970588235140216
000:00:03.639000,4.8.csv,Audio File 4.mp3,0.272242839,-0.633932819,Blue,Audio File 4,139.6748311,0.0,139.6748311,0.0,0.019406732,0.0,3.639,0.0,0,0,0.0,0,0,-0.187666183,0.187666183,Small Change (0-5%),No Change,0.5,0.3970588235140216
000:00:03.676000,4.18.csv,Audio File 4.mp3,-0.067377499,-0.675947917,Red,Audio File 4,139.6748311,0.0,139.6748311,0.0,0.0,0.0,3.676,0.0,0,0,0.0,0,0,-0.042015098,0.042015098,Small Change (0-5%),No Change,0.5,0.3970588235140216
000:00:03.779000,4.19.csv,Audio File 4.mp3,-0.072502685,-0.465481887,Red,Audio File 4,139.6748311,0.0,139.6748311,0.0,0.0,0.0,3.779,0.0,0,0,0.0,0,0,0.210466031,0.210466031,Small Change (0-5%),No Change,0.5,0.3970588235140216
000:00:03.956000,4.13.csv,Audio File 4.mp3,-0.039756162,-0.686721442,Red,Audio File 4,139.6748311,0.0,139.6748311,0.0,0.0,0.0,3.956,0.0,0,0,0.0,0,0,-0.221239555,0.221239555,Small Change (0-5%),No Change,0.5,0.3970588235140216
000:00:03.969000,4.9.csv,Audio File 4.mp3,0.274680499,-0.690691778,Blue,Audio File 4,139.6748311,0.0,139.6748311,0.0,0.0,0.0,3.969,0.0,0,0,0.0,0,0,-0.003970337,0.003970337,Small Change (0-5%),No Change,0.5,0.3970588235140216
000:00:04.059000,4.4.csv,Audio File 4.mp3,0.0,0.11038961,Green,Audio File 4,139.6748311,0.0,139.6748311,0.0,0.0,0.0,4.059,0.0,0,0,0.0,0,0,0.801081389,0.801081389,Small Change (0-5%),No Change,0.5,0.3970588235140216
000:00:04.250000,4.3.csv,Audio File 4.mp3,-0.070054427,0.158484669,Yellow,Audio File 4,139.6748311,0.0,139.6748311,0.0,0.0,0.0,4.25,0.0,0,0,0.0,0,0,0.048095058,0.048095058,Small Change (0-5%),No Change,0.5,0.3970588235140216
000:00:04.547000,4.16.csv,Audio File 4.mp3,0.226628313,-0.728395315,Blue,Audio File 4,123.046875,9.600154919,134.1321791,-0.119047619,0.023857449,-55.98638411,4.547,-16.62795608,16.62795608,-188.5063438,-11.9047619,11.9047619,11.9047619,-0.886879984,0.886879984,Moderate Change (5-15%),Decrease in Tempo → Decrease in Arousal,0.37279371209291856,0.2586284514120568
000:00:04.679000,4.16.csv,Audio File 4.mp3,0.226628313,-0.728395315,Blue,Audio File 4,123.046875,9.600154919,128.589527,0.0,0.048743237,0.0,4.679,0.0,0,424.1392736,0.0,0,0,0,0,Small Change (0-5%),No Change,0.5,0.3970588235140216
000:00:05.418000,4.5.csv,Audio File 4.mp3,-0.493548387,-0.659548387,Red,Audio File 4,123.046875,0.0,123.046875,0.0,0.048743237,0.0,5.418,0.0,0,0,0.0,0,0,0.068846928,0.068846928,Small Change (0-5%),No Change,0.5,0.3970588235140216
000:00:05.516000,4.17.csv,Audio File 4.mp3,0.136223546,-0.691411547,Blue,Audio File 4,132.5120192,5.46470357,126.2019231,0.076923077,0.039319544,96.5831044,5.516,9.465144231,9.465144231,985.5418816,7.692307692,7.692307692,7.692307692,-0.03186316,0.03186316,Moderate Change (5-15%),Increase in Tempo → Decrease in Arousal,0.5724097331228118,0.4865061409044153
000:00:05.748000,4.19.csv,Audio File 4.mp3,-0.023679328,-0.138365394,Red,Audio File 4,132.5120192,5.46470357,129.3569712,0.0,0.028515471,0.0,5.748,0.0,0,-416.3064845,0.0,0,0,0.553046153,0.553046153,Small Change (0-5%),No Change,0.5,0.3970588235140216
000:00:06.920000,4.5.csv,Audio File 4.mp3,-0.667741935,-0.498258065,Red,Audio File 4,126.0480183,3.731992682,130.3573523,-0.048780488,0.03805845,-5.515359162,6.92,-6.464000938,6.464000938,-4.705937852,-4.87804878,4.87804878,4.87804878,-0.359892671,0.359892671,Small Change (0-5%),Decrease in Tempo → Decrease in Arousal,0.4505494505521407,0.34033613444058997
000:00:07.959000,4.4.csv,Audio File 4.mp3,0.003246753,0.194805195,Green,Audio File 4,129.1992188,3.232337118,129.2530854,0.025,0.031960632,3.032916706,7.959,3.151200457,3.151200457,8.227406995,2.5,2.5,2.5,0.693063259,0.693063259,Small Change (0-5%),Increase in Tempo → Increase in Arousal,0.5241071428537276,0.42612920166706236
000:00:08.633000,4.5.csv,Audio File 4.mp3,-0.703225806,-0.41116129,Red,Audio File 4,109.9567819,10.32092799,121.734673,-0.14893617,0.046139636,-28.54960955,8.633,-19.24243684,19.24243684,-46.85834756,-14.89361702,14.89361702,14.89361702,-0.605966485,0.605966485,Moderate Change (5-15%),Decrease in Tempo → Decrease in Arousal,0.3527925531600953,0.223873591978836
000:00:09.081000,4.19.csv,Audio File 4.mp3,0.113026072,0.183868763,Green,Audio File 4,109.9567819,11.10962609,116.3709275,0.0,0.068419112,0.0,9.081,0.0,0,63.72680703,0.0,0,0,0.595030053,0.595030053,Small Change (0-5%),No Change,0.5,0.3970588235140216
000:00:09.861000,4.16.csv,Audio File 4.mp3,0.185535237,-0.333901788,Blue,Audio File 4,129.1992188,11.10962609,116.3709275,0.175,0.09190563,24.66979081,9.861,19.24243684,19.24243684,31.62793694,17.5,17.5,17.5,-0.51777055,0.51777055,Large Change (>15%),Increase in Tempo → Decrease in Arousal,0.6472074468399047,0.6005514705853069
000:00:09.997000,4.16.csv,Audio File 4.mp3,0.185535237,-0.333901788,Blue,Audio File 4,129.1992188,11.10962609,122.7850731,0.0,0.093805,0.0,9.997,0.0,0,-181.3955207,0.0,0,0,0,0,Small Change (0-5%),No Change,0.5,0.3970588235140216
000:00:10.233000,4.4.csv,Audio File 4.mp3,-0.113636364,0.363636364,Yellow,Audio File 4,129.1992188,0.0,129.1992188,0.0,0.061982544,0.0,10.233,0.0,0,0,0.0,0,0,0.697538151,0.697538151,Small Change (0-5%),No Change,0.5,0.3970588235140216
000:00:11.188000,4.5.csv,Audio File 4.mp3,-0.819354839,-0.482129032,Red,Audio File 4,129.1992188,0.0,129.1992188,0.0,0.030160089,0.0,11.188,0.0,0,0,0.0,0,0,-0.845765396,0.845765396,Small Change (0-5%),No Change,0.5,0.3970588235140216
000:00:11.826000,4.20.csv,Audio File 4.mp3,-0.06762035,-0.426423201,Red,Audio File 4,126.0480183,1.819346432,128.1488186,-0.024390244,0.004732379,-4.93918567,11.826,-3.151200457,3.151200457,-7.741670329,-2.43902439,2.43902439,2.43902439,0.055705831,0.055705831,Small Change (0-5%),Decrease in Tempo → Increase in Arousal,0.4758928571462724,0.36869747897730576
