Duration (hh:mm:ss.ms),Trial ID,Song_x,Valence,Arousal,Quadrant Color,Song_y,Tempo (bpm),Tempo Std Dev,Mean BPM,Coefficient of Variation,Rolling Coefficient of Variation,Instantaneous Rate of Tempo Change,Timestamp,Rate_of_Tempo_Change,ABSOLUTE RATE CHANGE,Tempo_Acceleration,Tempo_Change_Percentage,ABSOLUTE CHANGE PERCENTAGE,abs tempo change percentage,Arousal_Change,ABSOLUTE AROUSAL CHANGE,Tempo_Change_Category,Arousal_Response_Category,Normalized_Rate_of_Tempo_Change,Normalized_Tempo_Change_Percentage
000:00:01.153000,18.16.csv,Audio File 18.mp3,0.218754018,-0.734944923,Blue,Audio File 18,67.11647727,0.0,0.0,0.0,0.0,0.0,1.153,-77.11429196,77.11429196,,0.0,0,0,0.085090188,0.085090188,Small Change (0-5%),No Change,0.0,0.22201138518239005
000:00:01.169000,18.12.csv,Audio File 18.mp3,0.284457478,-0.711225806,Blue,Audio File 18,67.11647727,0.0,67.11647727,0.0,0.0,0.0,1.169,0.0,0,0,0.0,0,0,0.023719117,0.023719117,Small Change (0-5%),No Change,0.5022014676425248,0.22201138518239005
000:00:01.200000,18.2.csv,Audio File 18.mp3,0.372766005,-0.648547557,Blue,Audio File 18,67.11647727,0.0,67.11647727,0.0,0.0,0.0,1.2,0.0,0,0,0.0,0,0,0.062678249,0.062678249,Small Change (0-5%),No Change,0.5022014676425248,0.22201138518239005
000:00:01.301000,18.5.csv,Audio File 18.mp3,0.283870968,-0.730516129,Blue,Audio File 18,67.11647727,0.0,67.11647727,0.0,0.0,0.0,1.301,0.0,0,0,0.0,0,0,-0.081968572,0.081968572,Small Change (0-5%),No Change,0.5022014676425248,0.22201138518239005
000:00:01.379000,18.6.csv,Audio File 18.mp3,0.255203312,-0.690239891,Blue,Audio File 18,67.11647727,0.0,67.11647727,0.0,0.0,0.0,1.379,0.0,0,0,0.0,0,0,0.040276238,0.040276238,Small Change (0-5%),No Change,0.5022014676425248,0.22201138518239005
000:00:01.467000,18.15.csv,Audio File 18.mp3,-0.019126913,-0.769234066,Red,Audio File 18,67.11647727,0.0,67.11647727,0.0,0.0,0.0,1.467,0.0,0,0,0.0,0,0,-0.078994175,0.078994175,Small Change (0-5%),No Change,0.5022014676425248,0.22201138518239005
000:00:01.517000,18.9.csv,Audio File 18.mp3,-0.153550154,-0.728863729,Red,Audio File 18,143.5546875,44.13162125,92.59588068,1.138888889,0.158868195,1528.764205,1.517,76.43821023,76.43821023,30575.28409,113.8888889,113.8888889,113.8888889,0.040370337,0.040370337,Large Change (>15%),Increase in Tempo → Increase in Arousal,1.0,1.0
000:00:01.669000,18.10.csv,Audio File 18.mp3,0.263685518,-0.783825736,Blue,Audio File 18,143.5546875,44.13162125,118.0752841,0.0,0.283454306,0.0,1.669,0.0,0,-10057.65924,0.0,0,0,-0.054962007,0.054962007,Small Change (0-5%),No Change,0.5022014676425248,0.22201138518239005
000:00:01.686000,18.3.csv,Audio File 18.mp3,0.260475027,-0.758518709,Blue,Audio File 18,143.5546875,0.0,143.5546875,0.0,0.283454306,0.0,1.686,0.0,0,0,0.0,0,0,0.025307027,0.025307027,Small Change (0-5%),No Change,0.5022014676425248,0.22201138518239005
000:00:01.784000,18.1.csv,Audio File 18.mp3,0.308213608,-0.710479805,Blue,Audio File 18,143.5546875,0.0,143.5546875,0.0,0.124586111,0.0,1.784,0.0,0,0,0.0,0,0,0.048038904,0.048038904,Small Change (0-5%),No Change,0.5022014676425248,0.22201138518239005
