Duration (hh:mm:ss.ms),Trial ID,Song_x,Valence,Arousal,Quadrant Color,Song_y,Tempo (bpm),Tempo Std Dev,Mean BPM,Coefficient of Variation,Rolling Coefficient of Variation,Instantaneous Rate of Tempo Change,Timestamp,Rate_of_Tempo_Change,ABSOLUTE RATE CHANGE,Tempo_Acceleration,Tempo_Change_Percentage,ABSOLUTE CHANGE PERCENTAGE,abs tempo change percentage,Arousal_Change,ABSOLUTE AROUSAL CHANGE,Tempo_Change_Category,Arousal_Response_Category,Normalized_Rate_of_Tempo_Change,Normalized_Tempo_Change_Percentage
000:00:02.500000,17.5.csv,Audio File 17.mp3,0.132258065,-0.753096774,Blue,Audio File 17,130.8139535,0.0,0.0,0.0,0.0,0.0,2.5,8.531344793,8.531344793,,0.0,0,0,-0.174390182,0.174390182,Small Change (0-5%),No Change,0.5663169868605223,0.3837209302384701
000:00:02.583000,17.14.csv,Audio File 17.mp3,-0.00190705,-0.196788527,Red,Audio File 17,127.8409091,1.716487983,129.8229387,-0.022727273,0.0,-35.81981202,2.583,-2.973044397,2.973044397,-431.5640002,-2.272727273,2.272727273,2.272727273,0.556308247,0.556308247,Small Change (0-5%),Decrease in Tempo → Increase in Arousal,0.476889534886297,0.36061046512114164
000:00:02.799000,17.9.csv,Audio File 17.mp3,0.37751591,-0.742432866,Blue,Audio File 17,127.8409091,1.716487983,128.8319239,0.0,0.0,0.0,2.799,0.0,0,165.832463,0.0,0,0,-0.545644339,0.545644339,Small Change (0-5%),No Change,0.5,0.3837209302384701
000:00:02.933000,17.7.csv,Audio File 17.mp3,-0.116838179,0.480339729,Yellow,Audio File 17,127.8409091,0.0,127.8409091,0.0,0.00884841,0.0,2.933,0.0,0,0,0.0,0,0,1.222772595,1.222772595,Small Change (0-5%),No Change,0.5,0.3837209302384701
000:00:03.270000,17.3.csv,Audio File 17.mp3,0.273094515,-0.706473475,Blue,Audio File 17,127.8409091,0.0,127.8409091,0.0,0.004441156,0.0,3.27,0.0,0,0,0.0,0,0,-1.186813205,1.186813205,Small Change (0-5%),No Change,0.5,0.3837209302384701
000:00:03.434000,17.14.csv,Audio File 17.mp3,-0.082003166,0.037778668,Yellow,Audio File 17,127.8409091,0.0,127.8409091,0.0,0.0,0.0,3.434,0.0,0,0,0.0,0,0,0.744252143,0.744252143,Small Change (0-5%),No Change,0.5,0.3837209302384701
000:00:03.583000,17.6.csv,Audio File 17.mp3,-0.005671185,-0.007807331,Red,Audio File 17,106.1320755,12.53360093,120.6046312,-0.169811321,0.034641016,-145.6968699,3.583,-21.70883362,21.70883362,-977.8313418,-16.98113208,16.98113208,16.98113208,-0.045585999,0.045585999,Large Change (>15%),Decrease in Tempo → Decrease in Arousal,0.33124999998639665,0.21104651160065274
000:00:03.679000,17.17.csv,Audio File 17.mp3,-0.064935065,-0.116883117,Red,Audio File 17,106.1320755,12.53360093,113.3683533,0.0,0.071493161,0.0,3.679,0.0,0,1517.675728,0.0,0,0,-0.109075786,0.109075786,Small Change (0-5%),No Change,0.5,0.3837209302384701
000:00:03.686000,17.20.csv,Audio File 17.mp3,-0.122526283,-0.040021203,Red,Audio File 17,106.1320755,0.0,106.1320755,0.0,0.071493161,0.0,3.686,0.0,0,0,0.0,0,0,0.076861914,0.076861914,Small Change (0-5%),No Change,0.5,0.3837209302384701
000:00:03.866000,17.17.csv,Audio File 17.mp3,-0.064935065,-0.116883117,Red,Audio File 17,106.1320755,0.0,106.1320755,0.0,0.036852145,0.0,3.866,0.0,0,0,0.0,0,0,-0.076861914,0.076861914,Small Change (0-5%),No Change,0.5,0.3837209302384701
