Duration (hh:mm:ss.ms),Trial ID,Song_x,Valence,Arousal,Quadrant Color,Song_y,Tempo (bpm),Tempo Std Dev,Mean BPM,Coefficient of Variation,Rolling Coefficient of Variation,Instantaneous Rate of Tempo Change,Timestamp,Rate_of_Tempo_Change,ABSOLUTE RATE CHANGE,Tempo_Acceleration,Tempo_Change_Percentage,ABSOLUTE CHANGE PERCENTAGE,abs tempo change percentage,Arousal_Change,ABSOLUTE AROUSAL CHANGE,Tempo_Change_Category,Arousal_Response_Category,Normalized_Rate_of_Tempo_Change,Normalized_Tempo_Change_Percentage
000:00:01.466000,19.7.csv,Audio File 19.mp3,0.4204469,-0.790291341,Blue,Audio File 19,129.1992188,0.0,0.0,0.0,0.0,0.0,1.466,-10.47561233,10.47561233,,0.0,0,0,0.005172454,0.005172454,Small Change (0-5%),No Change,0.41814671815788057,0.37647058823864754
000:00:01.576000,19.6.csv,Audio File 19.mp3,0.304353579,-0.690239891,Blue,Audio File 19,135.9991776,3.925958091,131.4658717,0.052631579,0.0,61.81780801,1.576,6.799958882,6.799958882,561.9800729,5.263157895,5.263157895,5.263157895,0.10005145,0.10005145,Moderate Change (5-15%),Increase in Tempo → Increase in Arousal,0.553132832081728,0.4264779596104794
000:00:01.817000,19.5.csv,Audio File 19.mp3,0.141935484,-0.824064516,Blue,Audio File 19,135.9991776,3.925958091,133.7325247,0.0,0.0,0.0,1.817,0.0,0,-256.5054274,0.0,0,0,-0.133824625,0.133824625,Small Change (0-5%),No Change,0.5,0.37647058823864754
000:00:01.817000,19.8.csv,Audio File 19.mp3,0.31231744,-0.694782726,Blue,Audio File 19,135.9991776,0.0,135.9991776,0.0,0.019739913,0.0,1.817,0.0,0,,0.0,0,0,0.12928179,0.12928179,Small Change (0-5%),No Change,0.5,0.37647058823864754
000:00:01.852000,19.17.csv,Audio File 19.mp3,0.299496422,-0.816591572,Blue,Audio File 19,135.9991776,0.0,135.9991776,0.0,0.009785598,0.0,1.852,0.0,0,,0.0,0,0,-0.121808846,0.121808846,Small Change (0-5%),No Change,0.5,0.37647058823864754
000:00:01.867000,19.16.csv,Audio File 19.mp3,0.341789052,-0.80750091,Blue,Audio File 19,135.9991776,0.0,135.9991776,0.0,0.0,0.0,1.867,0.0,0,0,0.0,0,0,0.009090661,0.009090661,Small Change (0-5%),No Change,0.5,0.37647058823864754
000:00:01.871000,19.4.csv,Audio File 19.mp3,0.208988634,-0.776268308,Blue,Audio File 19,135.9991776,0.0,135.9991776,0.0,0.0,0.0,1.871,0.0,0,0,0.0,0,0,0.031232602,0.031232602,Small Change (0-5%),No Change,0.5,0.37647058823864754
000:00:01.897000,19.11.csv,Audio File 19.mp3,0.294972884,-0.80583702,Blue,Audio File 19,135.9991776,0.0,135.9991776,0.0,0.0,0.0,1.897,0.0,0,0,0.0,0,0,-0.029568712,0.029568712,Small Change (0-5%),No Change,0.5,0.37647058823864754
000:00:01.951000,19.1.csv,Audio File 19.mp3,0.335461852,-0.694968623,Blue,Audio File 19,135.9991776,0.0,135.9991776,0.0,0.0,0.0,1.951,0.0,0,0,0.0,0,0,0.110868397,0.110868397,Small Change (0-5%),No Change,0.5,0.37647058823864754
000:00:02.065000,19.14.csv,Audio File 19.mp3,0.28090309,-0.797093995,Blue,Audio File 19,135.9991776,0.0,135.9991776,0.0,0.0,0.0,2.065,0.0,0,0,0.0,0,0,-0.102125372,0.102125372,Small Change (0-5%),No Change,0.5,0.37647058823864754
