Duration (hh:mm:ss.ms),Song,Valence,Arousal,Quadrant Color
0:00:05.619000,Audio File 2.mp3,0.23161244695898153,0.03870387038703882,Green
0:00:37.401000,Audio File 2.mp3,0.2444708756589944,0.35373537353735385,Green
0:00:39.220000,Audio File 2.mp3,0.2401847327589901,0.5380395182375382,Green
0:00:41.666000,Audio File 2.mp3,0.23804166130898796,0.6623376623376624,Green
0:01:14.718000,Audio File 2.mp3,0.01944837340876937,0.7116283056877117,Green
0:01:15.448000,Audio File 2.mp3,-0.07698984184132707,0.7244867343877246,Yellow
0:01:22.898000,Audio File 2.mp3,-0.08127598474133135,0.8252110925378253,Yellow
0:01:30.565000,Audio File 2.mp3,-0.10699284214135707,0.8937893789378939,Yellow
0:02:23.860000,Audio File 2.mp3,-0.28058162959153066,0.9323646650379325,Yellow
0:02:39.644000,Audio File 2.mp3,-0.4605996313917107,0.9216493077879218,Yellow
0:02:40.161000,Audio File 2.mp3,-0.5784685611418285,0.9752260940379753,Yellow
0:03:19.020000,Audio File 2.mp3,-0.5056041318417557,0.5680425185375682,Yellow
0:03:19.982000,Audio File 2.mp3,-0.6020423470918521,0.34944923063734956,Yellow
0:03:20.715000,Audio File 2.mp3,-0.6491899189918993,0.10513908533710525,Yellow
0:03:21.714000,Audio File 2.mp3,-0.7027667052419528,-0.08773734516308762,Red
0:03:30.914000,Audio File 2.mp3,-0.7284835626419786,-0.24203848956324192,Red
0:03:31.431000,Audio File 2.mp3,-0.7327697055419828,-0.33204749046333193,Red
0:03:31.796000,Audio File 2.mp3,-0.734912776991985,-0.39205349106339193,Red
0:03:32.128000,Audio File 2.mp3,-0.734912776991985,-0.4949209206634948,Red
