Duration (hh:mm:ss.ms),Song,Valence,Arousal,Quadrant Color
0:00:02.991000,Audio File 14.mp3,0.07741935483870965,0.40174193548387094,Green
0:00:04.615000,Audio File 14.mp3,0.0,0.6436774193548389,Green
0:00:09.242000,Audio File 14.mp3,-0.38064516129032255,0.5146451612903227,Yellow
0:00:10.210000,Audio File 14.mp3,-0.33870967741935476,0.5920645161290323,Yellow
0:00:14.445000,Audio File 14.mp3,-0.11935483870967745,0.6823870967741936,Yellow
0:00:19.041000,Audio File 14.mp3,0.05483870967741944,0.6694838709677418,Green
0:00:20.766000,Audio File 14.mp3,-0.10322580645161294,0.7565806451612904,Yellow
0:00:24.671000,Audio File 14.mp3,-0.1709677419354838,0.7662580645161292,Yellow
0:00:25.319000,Audio File 14.mp3,-0.27419354838709675,0.7759354838709676,Yellow
0:00:26.796000,Audio File 14.mp3,-0.2709677419354839,0.6727096774193548,Yellow
0:00:29.077000,Audio File 14.mp3,-0.2774193548387096,0.7436774193548386,Yellow
0:00:30.088000,Audio File 14.mp3,-0.34838709677419344,0.7630322580645161,Yellow
0:00:52.388000,Audio File 14.mp3,-0.15161290322580645,0.7307741935483871,Yellow
0:01:05.085000,Audio File 14.mp3,-0.4258064516129032,0.6920645161290324,Yellow
0:01:12.925000,Audio File 14.mp3,-0.3354838709677419,0.7952903225806451,Yellow
0:01:16.577000,Audio File 14.mp3,-0.19999999999999996,0.8307741935483872,Yellow
0:01:17.497000,Audio File 14.mp3,-0.15806451612903216,0.6017419354838711,Yellow
0:01:18.247000,Audio File 14.mp3,-0.21612903225806446,0.4114193548387097,Yellow
0:01:23.184000,Audio File 14.mp3,-0.2451612903225806,0.37593548387096765,Yellow
0:01:23.807000,Audio File 14.mp3,-0.2612903225806451,0.44367741935483873,Yellow
0:01:32.762000,Audio File 14.mp3,-0.3290322580645161,0.6694838709677418,Yellow
0:01:39.194000,Audio File 14.mp3,-0.564516129032258,0.4791612903225806,Yellow
0:01:40.605000,Audio File 14.mp3,-0.664516129032258,0.5694838709677421,Yellow
0:01:42.384000,Audio File 14.mp3,-0.8258064516129031,0.6372258064516128,Yellow
0:01:54.789000,Audio File 14.mp3,-0.7741935483870968,0.7436774193548386,Yellow
0:02:02.695000,Audio File 14.mp3,-0.832258064516129,0.8178709677419354,Yellow
0:02:03.737000,Audio File 14.mp3,-0.8903225806451612,0.8823870967741934,Yellow
0:02:04.862000,Audio File 14.mp3,-0.9419354838709677,0.9210967741935485,Yellow
0:02:17.683000,Audio File 14.mp3,-0.8935483870967742,0.9469032258064518,Yellow
0:02:40.646000,Audio File 14.mp3,-0.9161290322580644,0.5823870967741935,Yellow
0:02:41.532000,Audio File 14.mp3,-0.864516129032258,0.4888387096774194,Yellow
0:02:42.017000,Audio File 14.mp3,-0.9193548387096774,0.3243225806451613,Yellow
0:02:48.688000,Audio File 14.mp3,-0.9387096774193548,0.22754838709677427,Yellow
0:02:50.247000,Audio File 14.mp3,-0.9580645161290322,0.18561290322580648,Yellow
