Duration (hh:mm:ss.ms),Song,Valence,Arousal,Quadrant Color
0:00:01.615000,Audio File 14.mp3,0.27256693923360586,-0.6960433256729552,Blue
0:00:03.399000,Audio File 14.mp3,0.258315073129888,-0.2684873425614165,Blue
0:00:07.665000,Audio File 14.mp3,0.2921632551262181,0.1412538079204746,Green
0:00:15.782000,Audio File 14.mp3,0.2903817718632533,0.3033687848502664,Green
0:00:18.768000,Audio File 14.mp3,0.31354105428179513,0.4066948141022215,Green
0:00:29.800000,Audio File 14.mp3,0.3652040689077727,0.5046763935652825,Green
0:00:36.650000,Audio File 14.mp3,-0.09085564641120203,0.515365293143071,Yellow
0:00:52.915000,Audio File 14.mp3,-0.051663014625977555,0.6275987387098498,Yellow
0:01:18.016000,Audio File 14.mp3,-0.20308909197798086,0.4583578287281991,Yellow
0:01:18.598000,Audio File 14.mp3,-0.25475210660395864,0.6578839541802504,Yellow
0:01:21.332000,Audio File 14.mp3,-0.32066698733365406,0.7683359164840646,Yellow
0:01:40.533000,Audio File 14.mp3,-0.5700746441487183,0.7968396486915004,Yellow
0:01:41.930000,Audio File 14.mp3,-0.9085564641120198,0.7487396005914526,Yellow
0:02:05.315000,Audio File 14.mp3,-0.9548750289491033,0.9197619938360679,Yellow
0:02:39.833000,Audio File 14.mp3,-0.8889601482194077,0.5990950065024139,Yellow
0:02:40.581000,Audio File 14.mp3,-0.8889601482194077,0.3603762492651381,Yellow
0:02:42.031000,Audio File 14.mp3,-0.9121194306379493,0.14659825770936874,Yellow
0:02:43.129000,Audio File 14.mp3,-0.6484599077191672,0.08959079329449704,Yellow
0:02:44.197000,Audio File 14.mp3,-0.3438262697521959,0.025457395827766183,Yellow
0:02:46.598000,Audio File 14.mp3,-0.14608162756310916,0.002298113409224589,Yellow
0:02:48.332000,Audio File 14.mp3,-0.06413339746673086,-0.0814315999501185,Red
