Duration (hh:mm:ss.ms),Trial ID,Song_x,Valence,Arousal,Quadrant Color,Song_y,Tempo (bpm),Tempo Std Dev,Mean BPM,Coefficient of Variation,Rolling Coefficient of Variation,Instantaneous Rate of Tempo Change,Timestamp,Rate_of_Tempo_Change,ABSOLUTE RATE CHANGE,Tempo_Acceleration,Tempo_Change_Percentage,ABSOLUTE CHANGE PERCENTAGE,abs tempo change percentage,Arousal_Change,ABSOLUTE AROUSAL CHANGE,Tempo_Change_Category,Arousal_Response_Category
000:00:01.615000,14.3.csv,Audio File 14.mp3,0.272566939,-0.696043326,Blue,Audio File 14,143.5546875,0,0,0,0,0,1.615,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No Change
000:00:01.864000,14.7.csv,Audio File 14.mp3,0.296983538,-0.388428966,Blue,Audio File 14,143.5546875,0,0,0,0,0,1.864,0,0,,0,0,0,0.30761436,0.30761436,Small Change (0-5%),No Change
000:00:01.991000,14.19.csv,Audio File 14.mp3,-0.085104041,0.072156776,Yellow,Audio File 14,143.5546875,0,143.5546875,0,0,0,1.991,0,0,0,0,0,0,0.460585742,0.460585742,Small Change (0-5%),No Change
000:00:02.231000,14.17.csv,Audio File 14.mp3,-0.097697374,-0.096501423,Red,Audio File 14,143.5546875,0,143.5546875,0,0,0,2.231,0,0,0,0,0,0,-0.1686582,0.1686582,Small Change (0-5%),No Change
000:00:02.403000,14.20.csv,Audio File 14.mp3,0.064626225,0.204117582,Green,Audio File 14,143.5546875,0,143.5546875,0,0,0,2.403,0,0,0,0,0,0,0.300619006,0.300619006,Small Change (0-5%),No Change
000:00:02.781000,14.5.csv,Audio File 14.mp3,0.148387097,0.056580645,Green,Audio File 14,117.4538352,15.06933409,134.8544034,-0.181818182,0.037248404,-69.04987374,2.781,-26.10085227,26.10085227,-182.6716236,-18.18181818,18.18181818,18.18181818,-0.147536937,0.147536937,Large Change (>15%),Decrease in Tempo → Decrease in Arousal
000:00:02.874000,14.19.csv,Audio File 14.mp3,0.038203237,0.133810415,Green,Audio File 14,117.4538352,15.06933409,126.1541193,0,0.077065664,0,2.874,0,0,742.4717606,0,0,0,0.07722977,0.07722977,Small Change (0-5%),No Change
000:00:02.991000,14.4.csv,Audio File 14.mp3,0.077419355,0.401741935,Green,Audio File 14,117.4538352,0,117.4538352,0,0.077065664,0,2.991,0,0,0,0,0,0,0.26793152,0.26793152,Small Change (0-5%),No Change
000:00:03.004000,14.1.csv,Audio File 14.mp3,-0.025953557,0.31436377,Yellow,Audio File 14,117.4538352,0,117.4538352,0,0.03981726,0,3.004,0,0,0,0,0,0,-0.087378165,0.087378165,Small Change (0-5%),No Change
000:00:03.172000,14.8.csv,Audio File 14.mp3,0.194029078,-0.43198634,Blue,Audio File 14,117.4538352,0,117.4538352,0,0,0,3.172,0,0,0,0,0,0,-0.74635011,0.74635011,Small Change (0-5%),No Change
000:00:03.370000,14.6.csv,Audio File 14.mp3,0.328928713,-0.665664757,Blue,Audio File 14,117.4538352,0,117.4538352,0,0,0,3.37,0,0,0,0,0,0,-0.233678417,0.233678417,Small Change (0-5%),No Change
000:00:03.399000,14.3.csv,Audio File 14.mp3,0.258315073,-0.268487343,Blue,Audio File 14,117.4538352,0,117.4538352,0,0,0,3.399,0,0,0,0,0,0,0.397177415,0.397177415,Small Change (0-5%),No Change
000:00:03.982000,14.2.csv,Audio File 14.mp3,-0.003246753,0.258116883,Yellow,Audio File 14,172.265625,31.64560158,135.7244318,0.466666667,0.077720229,94.01679206,3.982,54.81178977,54.81178977,161.2637943,46.66666667,46.66666667,46.66666667,0.526604226,0.526604226,Large Change (>15%),Increase in Tempo → Increase in Arousal
000:00:04.573000,14.10.csv,Audio File 14.mp3,0.130129471,-0.152929559,Blue,Audio File 14,132.5120192,28.31792829,140.7438265,-0.230769231,0.144787536,-67.26498438,4.573,-39.75360577,39.75360577,-272.8964068,-23.07692308,23.07692308,23.07692308,-0.411046442,0.411046442,Large Change (>15%),Decrease in Tempo → Decrease in Arousal
000:00:04.615000,14.4.csv,Audio File 14.mp3,0,0.643677419,Green,Audio File 14,132.5120192,22.95175499,145.7632212,0,0.197273924,0,4.615,0,0,1601.547247,0,0,0,0.796606978,0.796606978,Small Change (0-5%),No Change
000:00:04.849000,14.6.csv,Audio File 14.mp3,0.483941095,-0.467173293,Blue,Audio File 14,132.5120192,0,132.5120192,0,0.119553695,0,4.849,0,0,0,0,0,0,-1.110850712,1.110850712,Small Change (0-5%),No Change
000:00:05.019000,14.13.csv,Audio File 14.mp3,-0.02064445,0.020338152,Yellow,Audio File 14,132.5120192,0,132.5120192,0,0.052486388,0,5.019,0,0,0,0,0,0,0.487511445,0.487511445,Small Change (0-5%),No Change
000:00:05.168000,14.12.csv,Audio File 14.mp3,-0.12728182,0.150837709,Yellow,Audio File 14,132.5120192,0,132.5120192,0,0,0,5.168,0,0,0,0,0,0,0.130499557,0.130499557,Small Change (0-5%),No Change
000:00:05.451000,14.18.csv,Audio File 14.mp3,-0.048695295,0.21115677,Yellow,Audio File 14,132.5120192,0,132.5120192,0,0,0,5.451,0,0,0,0,0,0,0.060319061,0.060319061,Small Change (0-5%),No Change
000:00:05.463000,14.17.csv,Audio File 14.mp3,0.114541749,0.018040325,Green,Audio File 14,132.5120192,0,132.5120192,0,0,0,5.463,0,0,0,0,0,0,-0.193116445,0.193116445,Small Change (0-5%),No Change
000:00:05.918000,14.13.csv,Audio File 14.mp3,0.003859348,0.17716246,Green,Audio File 14,117.4538352,8.693846588,127.4926246,-0.113636364,0.022730326,-33.0949099,5.918,-15.058184,15.058184,-72.73606571,-11.36363636,11.36363636,11.36363636,0.159122135,0.159122135,Moderate Change (5-15%),Decrease in Tempo → Increase in Arousal
000:00:05.933000,14.12.csv,Audio File 14.mp3,0.040260065,0.353388347,Green,Audio File 14,117.4538352,8.693846588,122.4732299,0,0.046392222,0,5.933,0,0,2206.327327,0,0,0,0.176225887,0.176225887,Small Change (0-5%),No Change
000:00:06.170000,14.17.csv,Audio File 14.mp3,0.148230498,0.119106574,Green,Audio File 14,117.4538352,0,117.4538352,0,0.046392222,0,6.17,0,0,0,0,0,0,-0.234281773,0.234281773,Small Change (0-5%),No Change
000:00:06.546000,14.2.csv,Audio File 14.mp3,0.021103896,0.36038961,Green,Audio File 14,120.1853198,1.577023335,118.3643301,0.023255814,0.028103052,7.264586543,6.546,2.73148454,2.73148454,19.32070889,2.325581395,2.325581395,2.325581395,0.241283036,0.241283036,Small Change (0-5%),Increase in Tempo → Increase in Arousal
000:00:06.634000,14.13.csv,Audio File 14.mp3,0.050416565,0.316834109,Green,Audio File 14,120.1853198,1.577023335,119.2748249,0,0.00884841,0,6.634,0,0,-82.55211981,0,0,0,-0.043555501,0.043555501,Small Change (0-5%),No Change
000:00:06.869000,14.14.csv,Audio File 14.mp3,-0.057211511,0.220855503,Yellow,Audio File 14,120.1853198,0,120.1853198,0,0.00884841,0,6.869,0,0,0,0,0,0,-0.095978606,0.095978606,Small Change (0-5%),No Change
