Duration (hh:mm:ss.ms),Trial ID,Song_x,Valence,Arousal,Quadrant Color,Song_y,Tempo (bpm),Tempo Std Dev,Mean BPM,Coefficient of Variation,Rolling Coefficient of Variation,Instantaneous Rate of Tempo Change,Timestamp,Rate_of_Tempo_Change,ABSOLUTE RATE CHANGE,Tempo_Acceleration,Tempo_Change_Percentage,ABSOLUTE CHANGE PERCENTAGE,abs tempo change percentage,Arousal_Change,ABSOLUTE AROUSAL CHANGE,Tempo_Change_Category,Arousal_Response_Category
000:00:01.315000,16.6.csv,Audio File 16.mp3,0.264655286,-0.644870413,Blue,Audio File 16,130.8139535,0,0,0,0,0,1.315,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No Change
000:00:01.439000,16.12.csv,Audio File 16.mp3,0.201609447,-0.769234066,Blue,Audio File 16,130.8139535,0,0,0,0,0,1.439,4.765935196,4.765935196,,0,0,0,-0.124363653,0.124363653,Small Change (0-5%),No Change
000:00:01.597000,16.2.csv,Audio File 16.mp3,0.250953377,-0.712809518,Blue,Audio File 16,137.195122,3.68416933,132.9410096,0.048780488,0,40.38714217,1.597,6.381168463,6.381168463,255.6148239,4.87804878,4.87804878,4.87804878,0.056424548,0.056424548,Small Change (0-5%),Increase in Tempo → Increase in Arousal
000:00:01.637000,16.3.csv,Audio File 16.mp3,0.283255839,-0.820747154,Blue,Audio File 16,137.195122,3.68416933,135.0680658,0,0,0,1.637,0,0,-1009.678554,0,0,0,-0.107937636,0.107937636,Small Change (0-5%),No Change
000:00:01.702000,16.1.csv,Audio File 16.mp3,0.258335592,-0.687926267,Blue,Audio File 16,137.195122,0,137.195122,0,0.018329735,0,1.702,0,0,0,0,0,0,0.132820887,0.132820887,Small Change (0-5%),No Change
000:00:01.806000,16.5.csv,Audio File 16.mp3,0.319354839,-0.72083871,Blue,Audio File 16,137.195122,0,137.195122,0,0.00909213,0,1.806,0,0,0,0,0,0,-0.032912442,0.032912442,Small Change (0-5%),No Change
000:00:02.517000,16.7.csv,Audio File 16.mp3,0.27327776,-0.744214263,Blue,Audio File 16,140.625,1.980241015,138.3384146,0.025,0.00477149,4.824019759,2.517,3.429878049,3.429878049,6.784837917,2.5,2.5,2.5,-0.023375554,0.023375554,Small Change (0-5%),Increase in Tempo → Decrease in Arousal
000:00:02.718000,16.4.csv,Audio File 16.mp3,-0.006451613,0.001741935,Yellow,Audio File 16,140.625,1.980241015,139.4817073,0,0.009503869,0,2.718,0,0,-24.0000983,0,0,0,0.745956199,0.745956199,Small Change (0-5%),No Change
000:00:03.136000,16.20.csv,Audio File 16.mp3,0.383116883,-0.743506494,Blue,Audio File 16,140.625,0,140.625,0,0.009503869,0,3.136,0,0,0,0,0,0,-0.745248429,0.745248429,Small Change (0-5%),No Change
000:00:03.398000,16.19.csv,Audio File 16.mp3,0.337662338,-0.720779221,Blue,Audio File 16,140.625,0,140.625,0,0.004732379,0,3.398,0,0,0,0,0,0,0.022727273,0.022727273,Small Change (0-5%),No Change
000:00:04.432000,16.8.csv,Audio File 16.mp3,0.214600215,-0.721463721,Blue,Audio File 16,140.625,0,140.625,0,0,0,4.432,0,0,0,0,0,0,-0.000684501,0.000684501,Small Change (0-5%),No Change
000:00:04.448000,16.15.csv,Audio File 16.mp3,0.071561092,-0.604558707,Blue,Audio File 16,140.625,0,140.625,0,0,0,4.448,0,0,0,0,0,0,0.116905015,0.116905015,Small Change (0-5%),No Change
