Duration (hh:mm:ss.ms),Song,Valence,Arousal,Quadrant Color
0:00:03.059000,Audio File 3.mp3,0.007216431258866285,-0.12957503238142243,Blue
0:00:12.774000,Audio File 3.mp3,-0.027323752544254676,0.166483685931043,Yellow
0:00:12.921000,Audio File 3.mp3,-0.027323752544254676,0.166483685931043,Yellow
0:00:23.335000,Audio File 3.mp3,-0.05692962437550109,0.238031209523222,Yellow
0:00:39.875000,Audio File 3.mp3,-0.14821439585517804,0.34165176093258487,Yellow
0:00:40.040000,Audio File 3.mp3,-0.14821439585517804,0.34165176093258487,Yellow
0:01:18.885000,Audio File 3.mp3,-0.22716338740516862,0.46007524825757096,Yellow
0:01:27.833000,Audio File 3.mp3,-0.2123604514895454,0.5834330475544316,Yellow
0:02:16.268000,Audio File 3.mp3,-0.24196632332079204,0.6944550669216061,Yellow
