Duration (hh:mm:ss.ms),Song,Valence,Arousal,Quadrant Color
0:00:01.967000,Audio File 13.mp3,0.4459647495361776,0.1567717996289424,Green
0:00:36.672000,Audio File 13.mp3,0.4598794063079772,0.346938775510204,Green
0:01:28.558000,Audio File 13.mp3,0.4923469387755097,0.5139146567717996,Green
0:01:30.655000,Audio File 13.mp3,0.33928571428571375,0.6437847866419293,Green
0:01:41.269000,Audio File 13.mp3,0.4065398886827454,0.764378478664193,Green
0:01:43.267000,Audio File 13.mp3,0.49698515769944285,0.86873840445269,Green
0:02:11.516000,Audio File 13.mp3,0.5178571428571423,0.6275510204081631,Green
0:02:23.450000,Audio File 13.mp3,0.6013450834879401,0.7295918367346936,Green
0:02:25.400000,Audio File 13.mp3,0.6778756957328382,0.826994434137291,Green
0:02:28.450000,Audio File 13.mp3,0.7636827458256024,0.8641001855287569,Green
